day;host;pedestrian_count
2016-12-29;7075;3143
2017-03-01;7050;9763
2016-12-21;7072;10870
2016-11-13;7050;22371
2017-02-03;6198;3647
2016-11-22;6200;7452
2016-12-08;7037;30944
2017-02-10;7043;48697
2016-12-13;6177;6920
2017-01-31;6200;7549
2017-01-23;7059;117
2016-12-02;6182;19935
2016-10-14;7070;5640
2016-11-30;7039;38159
2017-01-23;7038;10084
2016-11-25;7070;17810
2016-12-30;6202;8149
2017-01-09;6198;3816
2017-01-02;7072;0
2016-12-14;7048;1079
2016-10-29;6191;5458
2017-02-12;7060;236
2017-02-18;6201;5152
2016-10-17;7124;4240
2017-01-27;7051;102191
2016-10-25;7060;130
2017-01-07;7059;113
2016-11-12;7038;5039
2017-02-08;7043;56072
2016-10-30;7075;2090
2017-02-01;7047;8214
2016-10-25;7050;28003
2016-11-07;14172;45080
2016-11-28;6201;4858
2017-03-02;7076;10742
2016-12-09;6178;52
2016-10-25;6192;19122
2016-11-24;7058;74440
2016-12-01;7036;0
2017-01-27;6177;9030
2016-10-26;7043;19046
2017-01-15;6185;9332
2016-11-07;6194;25559
2016-10-17;7047;5230
2016-11-24;7072;11764
2016-10-15;7047;4966
2016-10-11;7050;5275
2016-10-21;7072;13846
2017-02-15;7059;295
2016-11-18;7044;72524
2016-10-16;7052;3885
2016-12-09;7075;4448
2017-02-28;6194;3729
2017-02-23;7038;10587
2017-01-28;7036;0
2017-01-09;6199;33
2017-01-28;6192;16682
2017-01-25;6202;10752
2017-02-15;7075;3392
2016-10-22;6200;7980
2016-12-14;7052;11072
2016-10-28;7058;66617
2017-02-10;7057;1303
2017-01-25;7038;10831
2017-01-03;7057;166
2016-10-26;6185;1338
2016-10-17;7037;16052
2016-10-12;7075;1602
2017-02-03;7072;9708
2016-10-16;6178;112
2016-12-26;7053;6302
2016-11-01;6202;12105
2017-03-07;7054;0
2016-12-25;7052;3857
2016-10-20;7057;1582
2017-01-28;7051;76893
2017-01-10;6199;46
2016-11-14;7123;22347
2016-12-29;7119;824
2017-01-30;6200;7695
2016-12-27;7050;24050
2016-12-18;7053;5659
2016-10-27;7047;7956
2016-12-11;7057;1396
2017-01-06;6185;9823
2017-03-07;6194;187
2016-11-03;14172;48420
2016-10-11;7049;1785
2016-10-18;6182;14518
2016-12-04;7036;0
2017-02-10;7047;7991
2016-10-30;6194;14101
2017-02-01;7038;10186
2016-11-08;7039;38318
2017-01-23;7043;55262
2017-02-18;7051;72284
2017-02-27;6191;1541
2017-02-21;7048;1252
2017-01-04;6185;10325
2016-11-30;7058;82866
2017-02-04;7038;4766
2016-11-03;7043;45893
2016-12-22;7119;741
2016-10-29;7072;13024
2016-11-27;14172;31121
2016-12-10;7040;5120
2016-12-02;6200;7925
2016-12-23;6185;10917
2016-10-16;7057;1014
2016-12-11;6200;6487
2016-12-19;6193;5520
2016-10-27;7043;41185
2017-01-17;7061;530
2017-02-18;14172;37828
2017-01-05;7070;14366
2016-10-20;7123;80960
2017-02-24;7052;9336
2017-02-17;7044;64945
2017-03-05;7051;83325
2016-12-05;7059;84
2016-10-29;7043;37041
2016-11-28;6184;78390
2017-02-10;14172;40285
2016-10-29;7057;1507
2016-11-02;6182;19787
2016-11-21;7037;15622
2016-10-31;6194;23135
2016-12-30;7058;51163
2016-11-09;7058;64978
2016-10-29;7052;7278
2017-02-06;6202;10640
2017-02-21;7058;69656
2016-11-16;6192;21038
2016-10-21;6182;17423
2016-11-29;6198;4168
2017-02-06;6192;19083
2016-12-20;6199;34
2017-02-03;6200;8433
2016-11-01;7039;15965
2016-12-22;6185;9912
2017-02-12;7039;13762
2017-01-26;6193;5505
2016-11-06;6199;20
2016-10-11;7043;9565
2016-12-27;7119;896
2016-12-29;6177;4795
2016-10-25;6177;5012
2016-11-11;6201;3813
2016-12-26;7119;754
2016-12-12;6182;13450
2016-10-20;7053;7282
2017-01-30;7124;8784
2016-11-25;6202;11163
2016-11-09;7069;515
2017-02-20;7057;1211
2017-02-21;7061;837
2016-12-15;7047;10020
2016-12-22;7054;956
2017-02-23;6193;4832
2017-01-06;6199;33
2017-01-22;7119;1005
2016-10-31;7040;4693
2017-01-24;6184;73538
2017-02-26;6192;9462
2016-12-03;7040;5222
2016-12-05;7037;28763
2016-11-16;7053;10653
2017-01-06;6191;7271
2017-02-27;7058;47673
2017-02-27;7059;150
2016-11-18;7123;66127
2016-12-22;7038;8095
2017-02-10;6193;2852
2016-10-28;7076;40133
2017-02-14;7054;780
2017-02-07;6200;5650
2016-11-08;7054;892
2016-11-15;7075;3740
2016-11-15;7051;92221
2017-02-23;7037;20484
2017-02-21;7039;37404
2016-11-17;6185;10676
2016-11-30;6194;22294
2016-12-20;6184;71410
2017-02-04;7058;48134
2016-11-23;7054;1025
2017-03-06;7052;6
2016-11-09;7072;12597
2016-12-25;7048;628
2016-12-30;6180;9421
2017-01-13;6191;9552
2016-12-02;6193;5443
2017-02-28;6199;0
2017-02-18;7053;7785
2017-02-26;6191;1965
2016-12-09;7043;62311
2017-02-03;7057;1594
2016-12-11;7058;64235
2016-12-31;6184;51912
2017-02-16;7061;543
2017-02-21;6177;9402
2016-12-16;7059;119
2016-10-20;6182;20130
2016-12-10;6193;6288
2017-01-06;6193;5068
2016-10-31;7072;11101
2017-01-27;7124;7974
2017-03-07;7036;0
2016-11-12;6177;4669
2017-01-03;6182;1686
2017-03-03;6202;1423
2017-01-21;7048;1354
2016-12-26;7059;119
2016-12-15;7052;12432
2017-02-17;6200;8029
2017-03-07;7047;33
2016-12-20;7119;789
2017-01-07;6194;17300
2016-11-27;6185;9858
2017-01-17;7053;12100
2016-10-19;7058;77662
2016-10-17;7061;481
2017-02-26;6182;11435
2017-03-06;7119;27
2017-03-03;7058;16241
2016-12-22;6200;8218
2017-02-27;7049;6119
2017-01-02;7038;0
2016-12-24;7050;19438
2016-12-19;7124;6813
2016-10-25;7047;8246
2016-11-20;7058;47779
2017-01-12;7059;126
2017-02-22;7061;684
2016-10-22;6185;3537
2017-01-25;7060;230
2016-11-27;6191;5079
2016-11-06;7061;543
2017-01-14;6199;40
2017-01-09;6202;10787
2016-12-29;7058;55956
2016-12-07;6185;11018
2017-02-26;7047;5844
2016-11-02;6177;4703
2017-01-18;7124;6989
2017-02-28;7119;183
2017-02-06;7044;62712
2017-02-26;7059;284
2017-01-13;7070;12173
2017-03-03;7051;97100
2016-12-05;6191;7013
2017-01-15;7049;5346
2016-11-10;7124;6788
2016-10-23;6202;8948
2016-10-28;7043;41929
2017-02-20;7036;0
2017-01-31;7059;202
2016-10-13;6202;8049
2016-11-24;6182;18028
2016-11-16;7058;68734
2016-11-15;7076;46414
2017-01-25;7040;6658
2016-12-30;7050;22694
2017-02-11;7060;237
2016-12-04;7119;807
2016-12-14;7040;6738
2016-10-27;7044;59526
2016-10-30;7037;30678
2016-10-26;6201;3086
2016-12-15;6198;4844
2016-12-20;7044;69430
2016-10-27;7119;963
2016-10-20;6201;5116
2016-12-09;7061;699
2016-10-13;7038;6270
2016-10-23;6198;2115
2017-01-09;7039;34192
2016-12-23;7070;18407
2016-10-24;7058;65531
2016-12-30;6200;7874
2017-01-03;7043;4403
2016-11-16;7050;30761
2016-11-28;6185;10406
2016-10-13;7044;41815
2016-12-07;14172;47547
2016-12-03;6184;76616
2016-12-02;7061;644
2017-02-07;6185;9611
2017-02-08;6198;3679
2017-01-12;6185;11104
2017-01-10;7052;10555
2017-02-01;6185;11594
2016-11-16;6194;26570
2016-10-23;6200;5892
2017-02-03;7051;97538
2017-02-18;7049;7083
2017-01-05;6185;10121
2017-02-17;6182;22763
2017-02-25;7049;7044
2017-01-28;7043;64902
2016-12-17;6177;6198
2016-12-14;6192;22853
2017-02-25;6201;5228
2017-01-18;7051;99199
2016-12-16;6199;24
2016-12-28;7049;6443
2016-11-17;7051;96374
2016-11-01;7038;6116
2016-10-17;7049;4379
2016-11-04;7039;37488
2016-11-08;7044;66128
2017-02-08;7053;10675
2016-12-08;6192;23307
2016-12-20;7123;22298
2016-11-13;7053;5160
2017-02-13;7039;28629
2017-02-24;6200;5565
2016-12-09;7050;33188
2016-12-13;7044;81430
2017-02-17;6201;5911
2016-12-10;6199;39
2017-01-08;7123;23646
2017-02-04;6191;690
2016-12-30;7044;56051
2017-01-26;6192;23548
2016-12-13;7040;6752
2016-12-27;6194;20183
2016-11-20;6185;8842
2016-12-09;6202;15286
2016-12-27;6177;4217
2016-11-26;7039;25119
2016-10-14;7043;23172
2017-01-30;14172;42697
2017-01-12;7040;6586
2016-11-10;7047;8920
2016-10-16;14172;18804
2016-12-26;6200;5857
2016-12-07;6177;6861
2017-02-22;7039;37060
2017-02-27;7039;27946
2017-01-23;6180;11460
2016-12-26;7057;1137
2016-11-08;7076;48779
2016-12-19;6178;127
2016-10-27;7058;63806
2016-10-23;7049;3588
2016-10-30;7060;117
2017-01-29;14172;26747
2016-11-03;6200;7853
2016-12-07;7123;25310
2017-01-05;7043;52648
2016-11-11;6202;14002
2017-01-12;6201;5081
2017-01-14;7058;70300
2016-12-20;7057;1392
2017-02-08;6199;27
2017-01-19;7043;56698
2016-11-07;6184;53671
2016-12-13;6201;5225
2017-01-17;7059;100
2017-02-05;6192;9247
2017-01-09;6201;4794
2016-11-30;7048;1530
2016-11-28;6202;11640
2016-11-02;7043;43837
2016-11-16;7119;903
2016-12-25;6198;2252
2016-11-14;6193;4620
2016-11-28;6180;13598
2016-12-26;7060;228
2016-11-17;6184;75491
2017-02-14;6192;18378
2016-12-03;7123;15412
2016-12-16;7040;7750
2016-12-18;7060;233
2017-03-04;7051;76394
2016-12-19;6194;25980
2016-10-17;7075;1261
2017-01-06;6202;12379
2017-02-17;6178;108
2016-11-07;7124;8141
2016-12-24;7053;4154
2017-01-03;7070;440
2017-02-25;6193;3565
2017-01-29;7060;244
2017-01-13;7061;564
2017-03-05;7040;600
2017-01-03;7061;34
2016-10-26;6200;3217
2016-12-22;7050;27526
2016-12-12;6200;7781
2017-02-25;7038;7402
2017-02-24;7049;7242
2017-01-03;7050;2226
2017-02-12;6194;10785
2016-11-07;6193;4598
2016-11-07;7060;150
2016-10-21;7048;1033
2016-12-30;7052;7573
2017-02-18;6178;43
2016-10-20;7036;0
2017-02-17;7058;69765
2016-10-28;6192;18097
2016-12-19;7036;0
2017-01-30;6194;22410
2016-10-14;7057;980
2017-01-04;6201;4971
2016-11-15;6182;15778
2017-01-21;7076;37236
2016-10-28;7057;1677
2016-10-29;6193;4819
2016-10-11;7124;1187
2017-02-10;7075;4206
2016-11-23;6178;126
2016-12-17;7053;8685
2017-01-14;6185;12005
2017-02-14;7053;10701
2016-10-29;7039;16475
2017-01-30;6178;106
2017-02-09;7054;891
2017-02-05;6180;6664
2017-01-20;7123;29250
2016-10-17;7060;166
2016-12-30;6185;9159
2016-11-01;7059;239
2016-10-29;6178;65
2016-10-28;6191;7725
2016-11-21;7069;714
2017-02-13;7069;2381
2016-12-09;6193;6455
2017-01-18;7043;52759
2016-11-09;7040;5829
2016-10-23;6201;2463
2017-02-10;7060;301
2017-02-25;6198;4547
2016-11-13;7061;386
2016-11-08;7060;129
2017-01-13;7124;8972
2017-01-21;7057;1346
2016-12-28;7036;0
2016-11-02;7075;1802
2017-01-23;6200;6687
2017-02-05;7076;24666
2016-11-05;7072;12940
2017-03-01;7053;528
2017-02-25;6182;17097
2017-01-23;7075;4524
2017-01-23;6178;24
2016-11-13;7123;47780
2016-11-19;6202;13322
2017-01-07;7060;218
2017-02-06;7050;27729
2016-11-27;7048;1052
2016-12-19;6198;3656
2017-03-05;7075;206
2016-10-12;7060;224
2016-11-20;7119;722
2016-12-03;6192;19719
2016-12-28;7047;7590
2017-02-11;6182;10768
2017-01-20;7075;5448
2016-10-16;6202;8387
2016-11-08;7037;23790
2017-01-11;6191;7751
2017-01-10;6184;68885
2016-11-17;7057;1788
2016-10-29;7058;59888
2016-12-09;7072;12137
2016-11-18;7053;11792
2016-10-19;7061;597
2017-02-03;7070;11023
2016-11-30;6198;4512
2017-01-11;6201;4713
2016-11-02;6200;7460
2016-12-29;7070;15255
2017-02-17;6194;25350
2017-02-09;6185;10271
2016-12-26;6182;18321
2016-11-16;6185;11328
2016-11-05;7057;1635
2016-12-12;7038;8990
2016-12-01;6192;22115
2016-12-20;6200;6837
2017-02-05;7058;51348
